time_step,dist_15,dist_25,dist_35,dist_45
80,0.017359722405672073,0.024171117693185806,0.0001599333918420598,1.2988194504279238e-13
81,0.011866491287946701,0.014552087523043156,0.00012144967331551015,3.408895073771928e-13
82,0.0004708049527835101,0.005795603152364492,6.78733631502837e-05,8.746412340047971e-13
83,0.006975242868065834,0.000760926806833595,1.7176442270283587e-05,2.1940359685307387e-12
84,0.021130992099642754,0.00036682136123999953,1.8405396531306906e-06,5.381365492107548e-12
85,0.015820788219571114,0.0034561308566480875,6.839136040071025e-05,1.2906350467523087e-11
86,0.0012553989654406905,0.007614475209265947,0.00027169345412403345,3.026869380140518e-11
87,0.005187113769352436,0.010446803644299507,0.0006627253023907542,6.941789504333329e-11
88,0.017981402575969696,0.010644697584211826,0.0012703302782028913,1.5567956646034276e-10
89,0.014162297360599041,0.008369705639779568,0.0020801688078790903,3.4139521765119696e-10
90,0.0018885808531194925,0.0048896996304392815,0.0030171426478773355,7.320136163890822e-10
91,0.001809314009733498,0.0017809650162234902,0.003939812537282705,1.5345210657713437e-09
92,0.00829687062650919,0.0001533135655336082,0.004655239172279835,3.14454684513521e-09
93,0.007345475722104311,0.00024407199816778302,0.0049590724520385265,6.297912413799622e-09
94,0.0020056399516761303,0.0014815139584243298,0.0046981023624539375,1.232509916349045e-08
95,6.120239959273022e-07,0.0028939105104655027,0.0038422069046646357,2.3562304107827003e-08
96,0.0006400950369425118,0.003625328652560711,0.0025428629014641047,4.3987764541952856e-08
97,0.0011409868020564318,0.00331975519657135,0.001150534488260746,8.015939556571539e-08
98,0.0012943996116518974,0.0022185298148542643,0.00016791210509836674,1.4251912716645165e-07
99,0.0013850406976416707,0.000949918117839843,0.00013203245180193335,2.470769686624408e-07
100,0.0009501883178018034,0.00013705171295441687,0.0014440270606428385,4.173741672275355e-07
101,7.223965803859755e-05,4.898541737929918e-05,0.004192741587758064,6.864103738735139e-07
102,0.0006154668517410755,0.0004980810917913914,0.00803687609732151,1.0978965292451903e-06
103,0.0023649081122130156,0.0010302929440513253,0.012208031490445137,1.7057567447409383e-06
104,0.0018229726701974869,0.0012549130478873849,0.015667852014303207,2.5703038772917353e-06
105,5.6951746955746785e-05,0.001071254606358707,0.01740056648850441,3.7491784041776555e-06
106,0.0009257987840101123,0.0006527666701003909,0.016762815415859222,5.281123321765335e-06
107,0.001440826221369207,0.00025524426018819213,0.01376994326710701,7.161600933613954e-06
108,1.8750313756754622e-05,3.605241727200337e-05,0.00919506698846817,9.311469511885662e-06
109,0.001986966235563159,8.973258445621468e-06,0.0044061895459890366,1.1543916116352193e-05
110,0.003995833918452263,0.00010903354996116832,0.0009578209719620645,1.354088271909859e-05
111,0.0005739360931329429,0.00026550021721050143,5.691434125765227e-05,1.4857296264381148e-05
112,0.0030178632587194443,0.0004217971581965685,0.0020949316676706076,1.4978082617744803e-05
113,0.013629326596856117,0.0005162660963833332,0.006440008524805307,1.3455369298753794e-05
114,0.01152802538126707,0.0004787598445545882,0.011602489277720451,1.014810459309956e-05
115,0.0003851135552395135,0.0002886735601350665,0.01574520580470562,5.565110768657178e-06
116,0.009060768410563469,6.061782187316567e-05,0.017361940816044807,1.2762909591401694e-06
117,0.025765543803572655,2.0262357793399133e-05,0.0158593337982893,3.0215880997275235e-07
118,0.016747906804084778,0.0002887980663217604,0.011796754784882069,7.329274467338109e-06
119,0.00038816826418042183,0.0006702229147776961,0.0066682943142950535,2.8547881811391562e-05
120,0.009548182599246502,0.0007768504437990487,0.0023026256822049618,7.089794962666929e-05
121,0.022162584587931633,0.0004685443127527833,0.00012640336353797466,0.00014057446969673038
122,0.011576041579246521,7.754658872727305e-05,0.0006047276547178626,0.00024081382434815168
123,0.00010173534246860072,4.161593096796423e-05,0.0031002473551779985,0.0003692626778502017
124,0.0056479014456272125,0.00035346305230632424,0.006207105703651905,0.0005155833205208182
125,0.009419356472790241,0.0005702466587536037,0.008401334285736084,0.0006602773792110384
126,0.0029068654403090477,0.0004043387889396399,0.008706792257726192,0.0007758719148114324
127,0.00016895000590011477,8.87653513927944e-05,0.007075327914208174,0.0008314261212944984
128,0.002965389285236597,1.1951889973715879e-05,0.0043225414119660854,0.0008006417192518711
129,0.0022791451774537563,0.0001683470472926274,0.0016757070552557707,0.0006727242143824697
130,4.299481588532217e-05,0.00022981905203778297,0.0001715752005111426,0.00046363260480575264
131,0.0012706213165074587,8.954261284088716e-05,0.0001995415223063901,0.00022400538728106767
132,0.0026510837487876415,7.18595686066692e-07,0.0013957254122942686,3.935779750463553e-05
133,0.0012116444995626807,0.00010146108252229169,0.0029071345925331116,1.8828357497113757e-05
134,2.8360991564113647e-06,0.00016411782416980714,0.003861525794491172,0.0002712143468670547
135,0.0014855421613901854,4.6884844778105617e-05,0.0037909927777945995,0.0008710553520359099
136,0.0035852438304573298,2.7780060918303207e-05,0.0028043361380696297,0.0018224078230559826
137,0.003253646194934845,0.00029032755992375314,0.0014506700681522489,0.0030320060905069113
138,0.0008443219121545553,0.0004468952538445592,0.00038012705044820905,0.004304761998355389
139,0.0002584607864264399,0.00018328276928514242,3.3267975041439968e-09,0.005371407605707645
140,0.0036798424553126097,1.3465187294059433e-05,0.0003041079035028815,0.005949893966317177
141,0.006784800440073013,0.0005068578175269067,0.0009410890052095056,0.0058303289115428925
142,0.004401033744215965,0.0010784065816551447,0.0014532599598169327,0.004961144179105759
143,0.00028999013011343777,0.0007699129055254161,0.0015355221694335341,0.0035064478870481253
144,0.0016781286103650928,6.148235115688294e-05,0.0011732017155736685,0.0018460566643625498
145,0.005905900616198778,0.0003350218466948718,0.0006024291506037116,0.0005024228594265878
146,0.005408071912825108,0.001447667134925723,0.00014118074614088982,1.5879754755587783e-06
147,0.0014611607184633613,0.0016880653565749526,2.689210305106826e-06,0.0007016112795099616
148,2.4101917006191798e-05,0.000620014441665262,0.0001955589686986059,0.0026426012627780437
149,0.001121850567869842,1.3688230865227524e-05,0.0005508596077561378,0.0054769269190728664
