time_step,dist_15,dist_25,dist_35,dist_45
0,7.512987940572202e-05,4.3084439525502425e-27,0.0,0.0
1,0.00016826865612529218,6.032513635755154e-26,0.0,0.0
2,0.0003492841497063637,7.5125033453898305e-25,0.0,0.0
3,0.0006721256067976356,8.411378496630125e-24,0.0,0.0
4,0.001197563367895782,8.53786114095746e-23,0.0,0.0
5,0.0019696650560945272,7.907868365459056e-22,0.0,0.0
6,0.002974064787849784,6.718729289022218e-21,0.0,0.0
7,0.0040863207541406155,5.259598198115163e-20,0.0,0.0
8,0.005037620663642883,3.8082614750238297e-19,0.0,0.0
9,0.005443273112177849,2.559236017464045e-18,0.0,0.0
10,0.004938401281833649,1.6013315032158933e-17,0.0,0.0
11,0.003427700372412801,9.356736878699318e-17,0.0,0.0
12,0.0013817672152072191,5.119700067265486e-16,0.0,0.0
13,3.103477138211019e-05,2.6301033697944884e-15,0.0,0.0
14,0.001273333327844739,1.2716531048117229e-14,0.0,0.0
15,0.007167157717049122,5.799866338064563e-14,0.0,0.0
16,0.019043095409870148,2.500543175298908e-13,6.311706122236412e-38,0.0
17,0.03648882359266281,1.0210767778170982e-12,9.10808576985953e-37,0.0
18,0.05666118860244751,3.956026912305122e-12,1.2095145233880899e-35,0.0
19,0.0744374692440033,1.4565891895412797e-11,1.484542376735525e-34,0.0
20,0.08373525738716125,5.104191375115974e-11,1.6906525460182472e-33,0.0
21,0.0798783227801323,1.7045170830343181e-10,1.7927186633850325e-32,0.0
22,0.06226025149226189,5.43093126026406e-10,1.7756105479905237e-31,0.0
23,0.03601760044693947,1.6527426094370412e-09,1.6475175868582555e-30,0.0
24,0.011366328224539757,4.808388354149429e-09,1.4359277761622208e-29,0.0
25,4.662331048166379e-05,1.338478305967783e-08,1.178545023854197e-28,0.0
26,0.009936840273439884,3.567332740317397e-08,9.130330235659428e-28,0.0
27,0.040525391697883606,9.108529752666072e-08,6.691162109287354e-27,0.0
28,0.08216951787471771,2.2290711854111578e-07,4.6481138997916017e-26,0.0
29,0.12011443823575974,5.23013682141027e-07,3.0664739158409585e-25,0.0
30,0.1411372721195221,1.1767887144742417e-06,1.9246955742857913e-24,0.0
31,0.13893553614616394,2.5391998406121274e-06,1.1512449090760909e-23,0.0
32,0.1155911311507225,5.2535260692820884e-06,6.572519587416247e-23,0.0
33,0.07942094653844833,1.0418815691082273e-05,3.586627671048652e-22,0.0
34,0.0414704866707325,1.979515582206659e-05,1.873362340989263e-21,0.0
35,0.012439128942787647,3.6000808904645965e-05,9.377581814626018e-21,0.0
36,0.00015961428289301693,6.259955989662558e-05,4.504134790905336e-20,0.0
37,0.0070923021994531155,0.00010390587704023346,2.078103622438009e-19,0.0
38,0.028441155329346657,0.00016427722584921867,9.219597943199661e-19,0.0
39,0.052967000752687454,0.00024666477111168206,3.93704553478494e-18,0.0
40,0.06787317246198654,0.0003503337502479553,1.6197225406470298e-17,0.0
41,0.06577760726213455,0.00046801575808785856,6.425321284374695e-17,0.0
42,0.04887958616018295,0.0005833480972796679,2.4596950050648225e-16,3.316443546687987e-38
43,0.02676224894821644,0.0006701893289573491,9.09339208546669e-16,2.7702834344778124e-37
44,0.009428674355149269,0.0006960087921470404,3.24887321974149e-15,2.2119725399692124e-36
45,0.0012292613973841071,0.0006315346690826118,1.1224970402506397e-14,1.690595200490615e-35
46,0.0001594599016243592,0.00046760233817622066,3.752726956767448e-14,1.2384264612744741e-34
47,0.0018052002415060997,0.00023737471201457083,1.2146821092365312e-13,8.705729529289093e-34
48,0.003375879256054759,3.7773585063405335e-05,3.8085401260663787e-13,5.8796148272497804e-33
49,0.0045889695174992085,3.955211286665872e-05,1.157289867236011e-12,3.8192475612524336e-32
50,0.006303913425654173,0.00047292900853790343,3.4096074488093597e-12,2.3885920606307695e-31
51,0.009070496074855328,0.0015782234258949757,9.74357313582308e-12,1.4396852955763756e-30
52,0.011805472895503044,0.0035205853637307882,2.701716281250377e-11,8.37063395842017e-30
53,0.011340444907546043,0.006284508388489485,7.271221125204619e-11,4.6989037394685295e-29
54,0.0058707017451524734,0.009583129547536373,1.899950613504231e-10,2.5488527255998434e-28
55,0.0002976078831125051,0.012830751948058605,4.821116283970639e-10,1.3370464341977172e-27
56,0.003329353639855981,0.015224253758788109,1.1882517192418618e-09,6.787780621993418e-27
57,0.014841319993138313,0.01595216616988182,2.8450595213058705e-09,3.33732628779044e-26
58,0.02187800034880638,0.014500397257506847,6.618238401756571e-09,1.5902059040456954e-25
