step,x_ref,y_ref,x_lens,y_lens
0,12.0024648130016,37.0,12.002464821377918,37.0
50,12.364740986951064,36.999999981438116,12.364595988950919,36.99999642499123
100,12.753068059139554,36.99999972488446,12.652090087043737,36.999984431934294
150,13.195461011258171,36.99999888468018,13.191785069646444,36.999933831871495
200,13.52285424602063,36.99999692085488,13.51558737638905,36.99985986461575
250,14.279215571134836,36.99999002430009,14.269759067151428,36.999641850901206
300,14.557904488016424,36.99998087220074,14.540666126691871,36.99941985772307
350,15.41254359080067,36.999957779433444,15.397602822541739,36.998960482125966
400,13.952355840136237,36.9999870194007,13.845916246557143,36.99943161935848
450,13.046417741007964,37.00002961226411,13.295258462498149,36.999741109748314
500,12.486686296140915,37.00007264379737,12.522086344554044,37.000725960563095
600,12.076518707006176,37.00012799498507,12.070348709352457,37.0016190144119
650,12.394192720136395,37.000149864535224,12.243010721842657,37.00198867977844
700,12.72199908085942,37.00015246532022,12.716686349131498,37.00198047320663
750,12.969813660401563,37.000158922311165,12.963778879483678,37.00198427320979
800,13.381704070429803,37.00019542807445,13.372808136274562,37.002377484790564
850,13.955080705082976,37.00012937031948,13.859495478611375,37.001803023695466
900,14.370394995929306,37.00016065993844,14.35049428142524,37.00203297737179
950,14.912869518416995,37.000024129505206,14.888881061437422,37.00070044489947
1000,15.444238586358262,36.99999631619176,15.312753829454095,37.00036646639565
1050,15.897938083269125,36.999912615297454,15.67361472345129,36.999688253265454
1100,16.342120555556004,36.99986918065244,16.291162039192717,36.998956056619484
1150,16.727552239920836,36.9998706356768,16.67431151555964,36.998691419809425
1200,17.510089119996067,36.99966972966868,17.250270141720186,36.996272516825634
1250,17.858921671323337,36.99906544670228,17.82694232384509,36.89030263125073
1300,18.291910403234386,36.99891187008598,18.274691914717025,36.98716665225604
1350,18.164462999336287,36.9983869085738,18.236109418136248,36.910846358404186
1400,17.62993259333418,36.998386597308084,17.98941330133457,36.90645931761884
1450,16.88087888001559,36.99832855616507,16.886895303379823,36.97542224957307
1500,16.167514894464098,36.99863459934233,16.22541478163811,36.977169933004014
1550,15.70967716948203,36.999353981668094,16.46582246507062,36.98404600016389
1600,15.10667575452853,36.99985298991859,15.489968765243699,36.99214838743118
1650,13.444256247457762,37.00004573858376,13.76839959881054,36.91016579223206
1700,12.104233689030837,37.00012263782249,12.101292762431346,37.00125024491617
1750,12.414011774463535,37.00013366904688,12.536135010074904,37.001404955644155
1800,12.757291886872425,37.00013706355401,12.747151586071004,37.00124340925197
1850,12.805880760804552,37.000278387477145,13.057437720592572,37.00102113319653
1900,13.35674863384854,37.00027611012135,13.344031393135191,37.002367230023324
1950,13.566276730075856,37.00032969785365,13.45358123507408,37.00267470750258
2000,13.720786289498017,37.00038828874089,13.632969256319742,37.002190519020886
2050,15.108087288520524,36.999798563296345,14.982599632202755,36.88565615583961
2100,15.99470290273359,36.99956520553439,15.988203900657465,36.996436235794334
2150,16.635349147212487,36.99943462298167,16.7438283975288,36.98945859224663
2200,17.00180114571914,36.999315400653515,17.126670244597406,36.867204458581554
2250,17.65609718399332,36.999037209772354,17.289975398932405,36.97387267929199
2300,17.634952717920232,36.99892834998915,17.62278113713674,37.03422816366899
2350,17.963498748841346,36.9678588420107,18.189382400019507,36.971641674950256
2400,18.060180143215987,36.99857268674206,18.356326459862885,36.85251429295797
2450,17.63619133495991,36.99883452673212,18.001847918327694,36.946324191657865
2500,17.8762003110169,36.998785716857924,17.922778548807045,36.87419776863128
2550,17.893483486706003,36.99920392673199,18.101511759288236,36.77857592817427
2600,17.37881091315712,37.00004966736125,18.00554708356519,36.90453354975504
2650,16.50183841689916,36.999979813690956,17.675586315386422,36.73602975271475
2700,15.289631349967351,36.99998493677032,16.47926795104884,36.59891567714276
2750,14.19342754094055,37.000092235887145,17.897514069447425,36.16032079360012
2800,13.014046659717556,37.001182638995886,28.882891003680992,33.14453448944179
2850,15.228665678776288,37.01034975053886,30.145510399508236,32.804300535336644
2900,21.499530663627866,37.046054578355196,30.180383083674702,32.78351931991833
2950,24.669010421731272,37.19089384142407,30.419901507195572,32.51520491674797
3000,24.773898288951482,37.19182804144628,,
3050,24.8656097702641,37.192676546506576,,
3100,24.93459194996742,37.19339076426929,,
3150,24.95146625599842,37.19379537345834,,
3200,21.73789736433905,37.047398606713124,,
3250,23.2502877980374,37.24735766975269,,
