Step,Wavefront_Radius,Instant_Speed,Theoretical_Speed
0,6.782329983125268,0.0,0.282842712474619
1,7.14142842854285,0.3590984454175823,0.282842712474619
2,7.3484692283495345,0.2070407998066841,0.282842712474619
3,7.681145747868608,0.3326765195190733,0.282842712474619
4,8.12403840463596,0.442892656767353,0.282842712474619
5,8.306623862918075,0.18258545828211403,0.282842712474619
6,8.602325267042627,0.2957014041245518,0.282842712474619
7,9.055385138137417,0.4530598710947906,0.282842712474619
8,9.273618495495704,0.21823335735828664,0.282842712474619
9,9.539392014169456,0.2657735186737522,0.282842712474619
10,10.0,0.46060798583054385,0.282842712474619
11,10.246950765959598,0.24695076595959797,0.282842712474619
12,10.44030650891055,0.1933557429509527,0.282842712474619
13,10.63014581273465,0.1898393038240993,0.282842712474619
14,11.180339887498949,0.550194074764299,0.282842712474619
15,11.40175425099138,0.22141436349243016,0.282842712474619
16,11.575836902790225,0.1740826517988463,0.282842712474619
17,12.083045973594572,0.5072090708043469,0.282842712474619
18,12.206555615733702,0.12350964213912974,0.282842712474619
19,12.409673645990857,0.2031180302571549,0.282842712474619
20,13.0,0.590326354009143,0.282842712474619
21,13.19090595827292,0.19090595827291956,0.282842712474619
22,13.379088160259652,0.18818220198673252,0.282842712474619
23,13.601470508735444,0.22238234847579186,0.282842712474619
24,14.071247279470288,0.46977677073484436,0.282842712474619
25,14.2828568570857,0.21160957761541255,0.282842712474619
26,14.45683229480096,0.17397543771526003,0.282842712474619
27,14.696938456699069,0.24010616189810818,0.282842712474619
28,15.165750888103101,0.4688124314040323,0.282842712474619
29,15.329709716755891,0.16395882865279,0.282842712474619
30,15.588457268119896,0.25874755136400474,0.282842712474619
31,16.0312195418814,0.44276227376150246,0.282842712474619
32,16.24807680927192,0.21685726739052313,0.282842712474619
33,16.401219466856727,0.15314265758480516,0.282842712474619
34,16.61324772583615,0.2120282589794229,0.282842712474619
35,17.05872210923198,0.4454743833958297,0.282842712474619
36,17.291616465790582,0.23289435655860302,0.282842712474619
37,17.4928556845359,0.20123921874531803,0.282842712474619
38,18.0,0.5071443154640995,0.282842712474619
39,18.2208671582886,0.22086715828859838,0.282842712474619
40,18.466185312619388,0.24531815433078918,0.282842712474619
41,18.708286933869708,0.24210162125032042,0.282842712474619
42,19.209372712298546,0.5010857784288376,0.282842712474619
43,19.44222209522358,0.23284938292503554,0.282842712474619
44,19.672315572906,0.23009347768241994,0.282842712474619
45,20.12461179749811,0.45229622459210717,0.282842712474619
46,20.396078054371138,0.2714662568730297,0.282842712474619
47,20.615528128088304,0.21945007371716585,0.282842712474619
48,21.095023109728988,0.47949498164068416,0.282842712474619
49,21.307275752662516,0.21225264293352808,0.282842712474619
50,21.470910553583888,0.16363480092137195,0.282842712474619
51,22.0,0.529089446416112,0.282842712474619
52,22.22611077089287,0.2261107708928698,0.282842712474619
53,22.44994432064365,0.22383354975077907,0.282842712474619
54,22.64950330581225,0.1995589851686006,0.282842712474619
55,23.108440016582687,0.45893671077043763,0.282842712474619
56,23.345235059857504,0.23679504327481737,0.282842712474619
57,23.558437978779494,0.21320291892198995,0.282842712474619
58,24.0,0.4415620212205056,0.282842712474619
59,24.20743687382041,0.20743687382040932,0.282842712474619
60,24.413111231467404,0.20567435764699482,0.282842712474619
61,24.657656011875904,0.24454478040849992,0.282842712474619
62,25.099800796022265,0.44214478414636105,0.282842712474619
63,25.317977802344327,0.21817700632206183,0.282842712474619
64,25.514701644346147,0.1967238420018198,0.282842712474619
65,25.787593916455254,0.2728922721091074,0.282842712474619
66,26.1725046566048,0.3849107401495466,0.282842712474619
67,26.38181191654584,0.20930725994103838,0.282842712474619
68,26.60826939130014,0.22645747475430156,0.282842712474619
69,27.018512172212592,0.41024278091245137,0.282842712474619
