Step,Total_Mass,R_eff,Max_Amplitude
4100,293.02728271484375,29.79153525763061,4.8543901443481445
4200,306.5651550292969,29.84782570252811,4.767471790313721
4300,198.71102905273438,29.18181922028496,3.45198130607605
4400,255.2290496826172,28.717418608380683,3.656482219696045
4500,236.18202209472656,28.514313517114317,4.9047112464904785
4600,252.59799194335938,28.699845988908287,4.695385456085205
4700,186.0483856201172,30.34938632220614,1.9367254972457886
4800,193.42686462402344,29.656522229807734,3.9693024158477783
4900,213.5130615234375,30.333308273244473,3.983253240585327
5000,205.0459747314453,29.69041325853637,4.14765739440918
5100,159.9453125,28.848054985019587,2.8579657077789307
5200,194.89857482910156,29.104051137938335,4.048616409301758
5300,289.5583801269531,30.179534627077718,4.80007266998291
5400,259.60443115234375,29.770539752473436,4.942386150360107
5500,235.94528198242188,28.882437848806088,4.34100866317749
5600,188.9630584716797,28.855989414603822,4.21458625793457
5700,190.24559020996094,27.241483014149505,4.336058139801025
5800,101.11477661132812,27.3171933991292,1.6999037265777588
5900,209.65318298339844,27.22227475814978,3.8151769638061523
6000,256.9476623535156,29.013391944880897,5.294417381286621
6100,219.24989318847656,28.363279397218864,4.082098007202148
6200,200.07940673828125,27.709199720811736,3.824714422225952
6300,192.4302520751953,27.699038930040036,4.204180717468262
6400,236.52064514160156,28.529182506002783,4.258928298950195
6500,178.32901000976562,27.527253319043357,4.877175331115723
6600,257.90789794921875,27.176451901978833,4.44699764251709
6700,152.22927856445312,25.8289895865242,4.090604305267334
6800,112.11360168457031,26.11401823243754,3.3074073791503906
6900,180.8825225830078,27.00295161936615,3.966015577316284
7000,235.75418090820312,26.85789613188138,4.787243366241455
7100,137.5099334716797,25.239006141670576,3.980841875076294
7200,145.99285888671875,25.876020330798752,3.388056755065918
7300,174.06680297851562,25.960719747444323,4.660539150238037
7400,162.44639587402344,26.02279653445039,4.147430419921875
7500,240.49368286132812,27.18366902484848,4.755009174346924
7600,214.91705322265625,27.680460667852955,4.276721954345703
7700,149.39271545410156,26.5858640387301,3.812758445739746
7800,116.37290954589844,26.381185201969934,3.1958577632904053
7900,251.10189819335938,27.58217318737362,4.74345588684082
8000,143.4623260498047,26.42912121653801,3.2251827716827393
8100,136.51226806640625,27.574849217682726,3.780963659286499
8200,197.53872680664062,25.87126550110896,4.974247932434082
8300,192.15335083007812,27.31495378663168,5.452819347381592
8400,172.95010375976562,28.01609680082815,3.8661086559295654
8500,151.3269500732422,28.61933578976045,4.439548015594482
8600,190.73265075683594,27.938117451475783,4.3997578620910645
8700,141.67591857910156,26.404832560967474,4.242353439331055
8800,186.1453094482422,27.14225312959559,4.476937770843506
8900,102.11785125732422,25.445805119046145,3.0920937061309814
9000,194.77560424804688,27.23783660251535,4.315964221954346
9100,181.87379455566406,28.119130393148115,4.068634986877441
9200,134.3983154296875,26.362648958313912,3.8138539791107178
9300,185.5889434814453,25.588065825373747,4.09715461730957
9400,208.06814575195312,25.77711704587264,4.271725654602051
9500,98.5121078491211,24.0365780730136,3.2819972038269043
9600,143.39198303222656,24.070275925694094,4.122436046600342
9700,184.48779296875,25.52825052020562,4.369641304016113
9800,169.64573669433594,25.34499561126125,3.8108065128326416
9900,161.07855224609375,25.385440216534498,4.409778594970703
10000,154.7523956298828,24.85453471029195,3.408529043197632
10100,164.50405883789062,24.691673614031505,4.509212017059326
10200,137.48812866210938,24.974656336648934,3.8120243549346924
10300,76.92665100097656,24.865093356322493,1.888690710067749
10400,201.84046936035156,23.0385941455805,4.726038932800293
10500,154.7036590576172,24.505716266047276,3.5150842666625977
10600,137.69406127929688,28.6684126793568,2.3539323806762695
10700,196.39971923828125,27.927510414246225,4.135166645050049
10800,159.92381286621094,26.027731102515062,4.050433158874512
10900,86.44906616210938,24.477325811537675,3.0790536403656006
11000,174.4637451171875,24.49444756178745,4.63392972946167
11100,110.6927261352539,24.835712932581057,4.389811038970947
11200,169.64852905273438,26.91184349164365,3.953094244003296
11300,125.73259735107422,27.543626410379886,3.302781820297241
11400,198.1871337890625,26.69786602815982,4.344425678253174
11500,124.31222534179688,23.713536798608885,2.902820587158203
11600,97.172119140625,22.63034958042244,2.743975877761841
11700,189.77017211914062,22.74352408258264,4.743581295013428
11800,68.28023529052734,23.21992352891092,1.716082215309143
11900,165.643798828125,23.24321999247361,3.8474478721618652
12000,175.54989624023438,24.706283612077062,4.046926498413086
12100,129.45504760742188,24.784777018973667,3.6249895095825195
12200,121.07381439208984,23.763245232709917,3.663064479827881
12300,190.00723266601562,23.03424545844073,4.38710880279541
12400,77.10576629638672,22.479871348293212,2.061138391494751
12500,109.97161102294922,24.49736516205305,2.6667566299438477
12600,218.76905822753906,25.60276358543495,4.67149019241333
12700,116.49919128417969,27.247915477910215,2.183546304702759
12800,170.25392150878906,26.897881985051214,3.2165791988372803
12900,148.4401092529297,22.361619035082626,4.690832614898682
13000,98.73464965820312,21.753713516879316,3.5642333030700684
13100,122.2458267211914,24.636338209457833,3.490809440612793
13200,212.74746704101562,26.14595289306243,4.433858394622803
13300,69.39277648925781,25.6962634290328,1.5521588325500488
13400,170.53086853027344,26.29468889188278,3.9688079357147217
13500,154.19747924804688,24.46217500005594,4.411595821380615
13600,88.6923828125,22.29169661382436,3.966175079345703
13700,117.49945068359375,22.11787231042953,3.6611361503601074
13800,178.324951171875,24.31500880888793,4.07805871963501
13900,62.04719543457031,23.491986106625642,1.7848644256591797
14000,196.1608428955078,25.12468338651398,3.92425537109375
14100,151.56883239746094,22.29233716141282,3.854886293411255
14200,85.30598449707031,20.620675603795263,3.806915760040283
14300,148.16827392578125,21.969996191557073,4.5493645668029785
14400,120.75887298583984,21.267539965717724,3.184659242630005
14500,105.22769165039062,21.449999562509376,3.931063652038574
14600,198.02365112304688,24.478255513490748,4.429265022277832
14700,146.1459503173828,25.468398956700163,2.335580825805664
14800,161.62632751464844,25.32379418149805,3.2601065635681152
14900,137.6152801513672,21.072938502911153,4.491852760314941
