Step,Total_Mass,R_eff,Max_Amplitude
0,1386.739990234375,13.8131741755527,15.295248985290527
100,1343.15869140625,31.433269249754236,5.617449760437012
200,1523.854736328125,36.746055109878085,8.123479843139648
300,785.03369140625,36.08281333460122,4.377656936645508
400,1026.818359375,35.95424648954484,7.451092720031738
500,842.996826171875,35.88776330444894,4.324375152587891
600,953.4321899414062,36.194684006009474,4.676936149597168
700,746.6378173828125,34.7717757751214,6.540612697601318
800,618.9572143554688,35.194940437409215,3.3479928970336914
900,668.2394409179688,35.32640505548476,3.3574318885803223
1000,502.70550537109375,34.950274341584525,4.485969066619873
1100,542.2521362304688,34.59002886977264,4.901810646057129
1200,580.7340698242188,34.78592062035395,5.275515079498291
1300,527.5908813476562,35.415009099057016,3.472853422164917
1400,469.4866943359375,34.44281472755953,5.785590648651123
1500,365.0970458984375,33.90153675216402,2.456444025039673
1600,441.7823181152344,34.3350830781597,4.370758533477783
1700,443.2156677246094,34.47190286204765,4.3611040115356445
1800,311.22088623046875,33.25253839793332,1.855710744857788
1900,412.01544189453125,33.430426005273205,4.706070423126221
2000,460.71563720703125,34.47505001485708,5.449768543243408
2100,410.74652099609375,33.83980160776612,3.735774517059326
2200,321.1026306152344,32.498469497859595,5.013335704803467
2300,332.1181640625,31.91410907060577,4.5312275886535645
2400,404.366943359375,33.278354926510154,4.139434814453125
2500,371.4548645019531,32.33877988638602,5.1325788497924805
2600,313.1553955078125,32.288938496824684,5.555541515350342
2700,306.06768798828125,32.21979020995715,5.1133270263671875
2800,357.6636047363281,32.67875174428184,4.4698591232299805
2900,324.996337890625,32.661902066305394,5.377440929412842
3000,344.82275390625,32.168887071705186,3.1358516216278076
3100,266.1409606933594,31.9179370419251,2.4758825302124023
3200,221.05189514160156,30.120443884678433,2.913465738296509
3300,243.43080139160156,30.750129575170764,4.892821311950684
3400,293.11102294921875,31.11498522874785,3.2322700023651123
3500,191.2880401611328,31.24668047905087,2.596315383911133
3600,290.045166015625,31.757075181270235,3.755385160446167
3700,298.3328552246094,31.62944562729642,5.00807523727417
3800,293.8064270019531,30.706726889888028,3.816831111907959
3900,245.07467651367188,31.32927070674532,4.791825294494629
4000,298.5888671875,29.507661502651274,4.720339298248291
